I [../src/deptran/s_main.cc:147] 2024-05-16 11:15:03.457 | PWD : 
I [../src/deptran/s_main.cc:295] 2024-05-16 11:15:03.458 | starting process 548
I [../src/deptran/s_main.cc:290] 2024-05-16 11:15:03.458 | ulimit -n is 1024
I [../src/deptran/config.cc:284] 2024-05-16 11:15:03.459 | no benchmark or table schema given
I [../src/deptran/config.cc:301] 2024-05-16 11:15:03.460 | LoadYML: config/quepaxa_test.yml
I [../src/deptran/config.cc:422] 2024-05-16 11:15:03.525 | BuildSiteProcMap
I [../src/deptran/s_main.cc:301] 2024-05-16 11:15:03.526 | Read config finish
I [../src/deptran/s_main.cc:31] 2024-05-16 11:15:03.526 | client_setup_heartbeat
I [../src/deptran/s_main.cc:86] 2024-05-16 11:15:03.526 | server enabled, number of sites: 5
I [../src/deptran/s_main.cc:92] 2024-05-16 11:15:03.526 | launching site: 0, bind address 0.0.0.0:8101
I [../src/deptran/s_main.cc:92] 2024-05-16 11:15:03.526 | launching site: 1, bind address 0.0.0.0:8102
I [../src/deptran/s_main.cc:92] 2024-05-16 11:15:03.527 | launching site: 2, bind address 0.0.0.0:8103
I [../src/deptran/s_main.cc:92] 2024-05-16 11:15:03.527 | launching site: 3, bind address 0.0.0.0:8104
I [../src/deptran/s_main.cc:92] 2024-05-16 11:15:03.527 | launching site: 4, bind address 0.0.0.0:8105
I [../src/deptran/server_worker.cc:55] 2024-05-16 11:15:03.528 | Is it replicated: 1I [../src/deptran/server_worker.cc:55] 2024-05-16 11:15:03.528 | Is it replicated: 1

I [../src/deptran/server_worker.cc:55] 2024-05-16 11:15:03.528 | Is it replicated: 1
I [../src/deptran/server_worker.cc:55] 2024-05-16 11:15:03.528 | Is it replicated: 1
I [../src/deptran/server_worker.cc:55] 2024-05-16 11:15:03.528 | Is it replicated: 1
I [../src/deptran/s_main.cc:102] 2024-05-16 11:15:03.529 | table popped for site 1I [../src/deptran/s_main.cc:102] 2024-05-16 11:15:03.529 | table popped for site 2I [../src/deptran/s_main.cc:102] 2024-05-16 11:15:03.529 | table popped for site 0

I [../src/deptran/server_worker.cc:128] 2024-05-16 11:15:03.529 | enter SetupService for s103 @ 0.0.0.0:8103
I [../src/deptran/s_main.cc:102] 2024-05-16 11:15:03.529 | table popped for site 4
I [../src/deptran/s_main.cc:102] 2024-05-16 11:15:03.529 | table popped for site 3

I [../src/deptran/server_worker.cc:128] 2024-05-16 11:15:03.529 | enter SetupService for s102 @ 0.0.0.0:8102
I [../src/deptran/server_worker.cc:128] 2024-05-16 11:15:03.530 | enter SetupService for s104 @ 0.0.0.0:8104
I [../src/deptran/server_worker.cc:128] 2024-05-16 11:15:03.529 | enter SetupService for s105 @ 0.0.0.0:8105
I [../src/rrr/reactor/reactor.cc:400] 2024-05-16 11:15:03.530 | starting poll thread
I [../src/deptran/server_worker.cc:128] 2024-05-16 11:15:03.530 | enter SetupService for s101 @ 0.0.0.0:8101
I [../src/rrr/reactor/reactor.cc:400] 2024-05-16 11:15:03.530 | starting poll thread
I [../src/rrr/reactor/reactor.cc:400] 2024-05-16 11:15:03.530 | starting poll thread
I [../src/rrr/rpc/server.cpp:575] 2024-05-16 11:15:03.530 | bind address is: 0.0.0.0:8103I [../src/rrr/rpc/server.cpp:575] 2024-05-16 11:15:03.530 | bind address is: 0.0.0.0:8105I [../src/rrr/rpc/server.cpp:575] 2024-05-16 11:15:03.530 | bind address is: 0.0.0.0:8102
I [../src/rrr/rpc/server.cpp:575] 2024-05-16 11:15:03.530 | bind address is: 0.0.0.0:8101

I [../src/rrr/reactor/reactor.cc:400] 2024-05-16 11:15:03.530 | starting poll thread
I [../src/rrr/rpc/server.cpp:575] 2024-05-16 11:15:03.530 | bind address is: 0.0.0.0:8104
I [../src/rrr/reactor/reactor.cc:400] 2024-05-16 11:15:03.530 | starting poll thread

I [../src/rrr/rpc/server.cpp:570] 2024-05-16 11:15:03.531 | rrr::Server: started on 0.0.0.0:8105I [../src/rrr/rpc/server.cpp:570] 2024-05-16 11:15:03.531 | rrr::Server: started on 0.0.0.0:8101I [../src/rrr/rpc/server.cpp:570] 2024-05-16 11:15:03.531 | rrr::Server: started on 0.0.0.0:8103
I [../src/rrr/rpc/server.cpp:570] 2024-05-16 11:15:03.531 | rrr::Server: started on 0.0.0.0:8102


I [../src/deptran/server_worker.cc:182] 2024-05-16 11:15:03.531 | Server s102 ready at 0.0.0.0:8102
I [../src/deptran/server_worker.cc:182] 2024-05-16 11:15:03.531 | Server s105 ready at 0.0.0.0:8105I [../src/deptran/s_main.cc:108] 2024-05-16 11:15:03.531 | start communication for site 1
I [../src/deptran/server_worker.cc:182] 2024-05-16 11:15:03.531 | Server s101 ready at 0.0.0.0:8101

I [../src/deptran/s_main.cc:108] 2024-05-16 11:15:03.531 | start communication for site 0
I [../src/deptran/s_main.cc:108] 2024-05-16 11:15:03.531 | start communication for site 4
I [../src/rrr/rpc/server.cpp:570] 2024-05-16 11:15:03.531 | rrr::Server: started on 0.0.0.0:8104
I [../src/deptran/server_worker.cc:182] 2024-05-16 11:15:03.531 | Server s103 ready at 0.0.0.0:8103
I [../src/deptran/server_worker.cc:182] 2024-05-16 11:15:03.532 | Server s104 ready at 0.0.0.0:8104I [../src/deptran/s_main.cc:108] 2024-05-16 11:15:03.532 | start communication for site 2

I [../src/deptran/s_main.cc:108] 2024-05-16 11:15:03.532 | start communication for site 3
I [../src/deptran/communicator.cc:25] 2024-05-16 11:15:03.532 | size of partitions: 1
I [../src/deptran/communicator.cc:25] 2024-05-16 11:15:03.532 | size of partitions: 1
I [../src/deptran/communicator.cc:25] 2024-05-16 11:15:03.532 | size of partitions: 1
I [../src/deptran/communicator.cc:25] 2024-05-16 11:15:03.532 | size of partitions: 1
I [../src/deptran/communicator.cc:25] 2024-05-16 11:15:03.532 | size of partitions: 1
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.533 | connect to site: 127.0.0.1:8101 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.533 | connect to site: 127.0.0.1:8101 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.533 | connect to site: 127.0.0.1:8101 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.533 | connect to site: 127.0.0.1:8102 success!
